NCESID,NAME,CITY,STATE,ADDRESS,ZIPCODE,Y12_StateProgramAbbrev,Y12_District,Y12_AddressLine2
150003000226,Ala Wai Elementary School,Honolulu,HI,503 Kamoku St,96826,SOHI,Honolulu District,
60209212248,Alain Leroy Locke College Prep Academy GDPS,Los Angeles,CA,325 E 111th St.,90061,SOSoCal,Green Dot,
350150000376,Alameda Elementary,Las Cruces,NM,1325 N. Alameda,88005,SONM,Las Cruces Public Schools,
480759000045,Alamo Heights HS,San Antonio,TX,6900 Broadway,78209,SOTX,Alamo Heights ISD,
480759000046,Alamo Heights Junior High,San Antonio,TX,7607 N New Braunfuls,78209,SOTX,Alamo Heights ISD,
340927003498,Alan B. Shepard Elementary School,Old Bridge,NJ,33 Bushnell Road,08857,SONJ,Old Bridge Township School District,
440021000465,Alan Shawn Feinstein Middle School of Coventry,Coventry,RI,15 Foster Drive,02816,SORI,Coventry,
270293000063,Albany Area Middle School,Albany,MN,30 Forest Ave,56307,SOMN,Albany Public School District,07ALBCS
510009000015,Albemarle High School,Charlottesville,VA,2775 Hydraulic Rd.,22901,SOVA,Albemarle,
500039500115,Albert D Lawton,Essex Jct,VT,104 Maple St,05452,SOVT,Essex Westford School District,
240048000773,Albert Einstein,Kensington,MD,11135 Newport Mill rd,20895,SOMD,Montgomery County,
360255000039,Alden Senior High School,Alden,NY,13190 Park St,14004,SONY,Alden Central School District,
410883004189,Alder Creek Middle School,Portland,OR,13801 Se Webster Rd,97267,SOOR,North Clackamas,
173474003636,Aldrin Elementary School,Schauburg,IL,617 Boxwood Drive,60193,SOIL,54,
370009000028,Alexander Central High School,Taylorsville,NC,223 School Drive,28681,SONC,Alexander County Schools,
450231000488,Alexander Elementary School,Greenville,SC,1601 West Bramlett Rd.,29611,SOSC,Greenville County School District,
317482002278,Alfonza W. Davis Middle School,Omaha,NE,8050 N. 129th Ave,68142,SONE,Omaha Public Schools,
250891001441,Algonquin Regional High School,Northborough,MA,79 Bartlett Street,01532,SOMA,Northborough,
040633000538,Alhambra HS,Phoenix,AZ,3839 W Camelback Rd,85019,SOAZ,Phoenix UHSD,
040960000981,Alice Byrne Elem,Yuma,AZ,811 W 16th St,85364,SOAZ,Yuma ESD,
484365000036,Alicia Ruiz Elem.,Laredo,TX,1717 Ave. Los Presidentes,78046,SOTX,United ISD,
530927000578,Alki Middle School,Vancouver,WA,1800 NW Bliss Rd.,98985,SOWA,Vancouver Public Schools,
240003000001,Allegany,Cumberland,MD,616 Sedgwick St,21502,SOMD,Allegany County,
180639001107,Allen Elementary School,Marion,IN,1115 E Bradford St,46952,SOIN,Marion Community Schools,
480789000117,Allen High School,Allen,TX,300 Rivercrest Drive,75002,SOTX,Allen ISD,
260252003971,Allen Park High School,Allen Park,MI,18401 Champaign,48101,SOMI,Allen Park Public,
260252003974,Allen Park Middle School,Allen Park,MI,8401 Vine Ave,48101,SOMI,Allen Park Public,
310291000011,Alliance High School,Alliance,NE,1604 Sweetwater Ave,69301,SONE,Alliance,
120087003711,Alonso High School,Tampa,FL,8302 Montague St,33635,SOFL,Hillsborough,
490014200659,Alta High School,Sandy,UT,11055 S. 1000 East,84020,SOUT,Canyons School District,
60002909509,Alta Murrieta ES MVUSD,Murrieta,CA,39475 Whitewood Rd,92563,SOSoCal,Murrieta Valley Unified School District,
330144000003,Alton Central School,Alton,NH,41 School Street,03809,SONH,n/a,
62691004065,Alvarado Elementary School,Union City,CA,31100 Fredi St,94587,SONoCal,Mission Valley,
330393000179,Alvirne High School,Hudson,NH,200 Derry Road,03051,SONH,n/a,
350012301066,American Sign Language Academy,Albuquerque,NM,620 Lomas Blvd. NW,87102,SONM,Private,
250186000034,Amesbury High School,Amesbury,MA,5 Highland Street,01913,SOMA,Amesbury,
360292000061,Amherst Central High School,Amherst,NY,4301 Main St.,14226,SONY,Amherst Central Schools District,Section 2
550033000033,Amherst High School,Amherst,WI,357 North Main St,54409,SOWI,Tomorrow River School District,
410123001263,Amity,Amity,OR,807 Trade Street,97101,SOOR,Amity,
360294000063,Amityville Memorial High School,Amityville,NY,250 Merrick Rd.,11701,SONY,Section 11,
040068000032,Amphitheater HS,Tucson,AZ,125 W Yavapai Rd,85705,SOAZ,Amphitheater USD,
170993000587,Amundsen High School,Chicago,IL,5110 N. Damen,60625,SOIL,Chicago Public Schools,
110003000085,Anacostia HS,Washington,DC,1601 16th Street SE,20020,SODC,District of Columbia,
317374001896,Andersen Middle School,Omaha,NE,15404 Adams St,68137,SONE,Millard,
317527001900,Anderson Grove Elementary,Papillion,NE,8130 Giles Road,68128,SONE,Papillion La Vista,
250195000045,Andover High School,Andover,MA,80 Shawsheen Road,01810,SOMA,Andover,
481830001661,Andress High School,El Paso,TX,5400 Sun Valley dr,79924,SOTX,El Paso ISD,
220141002296,Andrew Jackson Middle School,Chalmette,LA,201 8th Street,70043,SOLA,St. Bernard Parish School District,
510346002045,Andrew Lewis Middle School,Salem,VA,616 South College Ave,24153,SOVA,Salem,
484365005822,Andrew Trautmann Elem.,Laredo,TX,810 Lindenwood Rd.,78045,SOTX,United ISD,
450228000482,Andrews high School,Andrews,SC,12890 County Line Rd,29510,SOSC,Georgetown county,
190369002187,Ankeny Centennial High School,Ankeny,IA,2220 NW State Street,50023,SOIA,Ankeny Community School District,
090276000538,Ann Antolini Elem School,New Hartford,CT,30 Antolini Road,06057,SOCT,New Hartford,
481623012796,Ann Richards STEAM MS,Dallas,TX,3837 N Prairie Creek Rd.,75238,SOTX,Dallas ISD,
510126000423,Annandale High School,Annandale,VA,4700 Medford Dr.,22003,SOVA,Fairfax,
270315000093,Annandale Middle School,Annandale,MN,125 Cherry Ave N,55302,SOMN,Annandale Public School District,07AHSCS
270315001825,Annandale Senior High,Annandale,MN,855 Hemlock St E,55302,SOMN,Annandale Public School District,07AHSCS
240006000037,Annapolis,Annapolis,MD,2700 Riva Road,21401,SOMD,Anne Arundel County,
240006000036,Annapolis (Middle),Annapolis,MD,1399 Forest Drive,21403,SOMD,Anne Arundel County,
171332005001,Annette Officer Elementary School,East St. Louis,IL,558 North 27 Street,62205,SOIL,189,
480840000208,Anson High School,Anson,TX,1509 Commercial ave,79501,SOTX,Anson ISD,
340492003086,Antheil Elementary School,Ewing,NJ,339 Ewingville Road,08638,SONJ,Ewing Public Schools,
